X,Y,RECORD,LOCATION___GEOID,TOTAL_COLLISIONS,CYCLIST_COLLISIONS,PEDESTRIAN_COLLISIONS,XCOORD,YCOORD,LONGITUDE,LATITUDE,ObjectId
-75.97205827,45.29317806,601,CARP RD @ RICHARDSON SIDE RD (0005759),3,0,0,346209.5557,5017160.457,-75.97205827,45.29317806,1
-75.94619984,45.2724932,602,CARP RD @ ROTHBOURNE RD (0002007),1,0,0,348253.5717,5014875.436,-75.94619984,45.2724932,2
-75.93004857,45.2675073,603,CARP RD @ STITTSVILLE MAIN ST (0005253),5,0,0,349524.7861,5014330.203,-75.93004857,45.2675073,3
-76.09579538,45.37315835,604,CARP RD @ THOMAS A. DOLAN PKWY (0002118),1,0,0,336459.5381,5025992.327,-76.09579538,45.37315835,4
-75.95272681,45.27762702,605,CARP RD @ WESTBROOK RD (0001681),4,0,0,347737.5651,5015442.441,-75.95272681,45.27762702,5
-75.95825487,45.28200885,606,CARP RD/HWY 417 CARP IC144R63 @ HWY 417 CARP I (0001100),2,0,0,347300.5774,5015926.447,-75.95825487,45.28200885,6
-75.87531559,45.29669429,607,CARRIAGE CRT @ COUNTRY LANE (0003603),1,0,0,353794.6192,5017605.45,-75.87531559,45.29669429,7
-75.72900938,45.40597417,608,CARRUTHERS AVE @ SCOTT ST (0006480),1,0,0,365153.291,5029848.782,-75.72900938,45.40597417,8
-75.62785389,45.44086102,609,CARSON'S RD @ DEN HAAG DR (0011527),1,0,0,373029.7157,5033806.574,-75.62785389,45.44086102,9
-75.68565113,45.41546188,610,CARTIER ST @ GLADSTONE AVE (0007920),1,0,0,368536.7078,5030936.577,-75.68565113,45.41546188,10
-75.68954699,45.41999786,611,CARTIER ST @ LISGAR ST (0006888),1,0,0,368226.7112,5031437.575,-75.68954699,45.41999786,11
-75.8895464,45.29741302,612,CASTLEFRANK RD @ HAZELDEAN RD (0003608),12,0,0,352677.8781,5017676.769,-75.8895464,45.29741302,12
-75.89870023,45.30886072,613,CASTLEFRANK RD @ KATIMAVIK RD (0003228),5,0,0,351950.4529,5018943.516,-75.89870023,45.30886072,13
-75.89115954,45.29874398,614,CASTLEFRANK RD @ MACNEIL CRT (0003604),2,0,0,352550.243,5017823.717,-75.89115954,45.29874398,14
-75.8936433,45.30074976,615,CASTLEFRANK RD @ MCCURDY DR S/TAMBLYN CRES (0002621),2,0,0,352353.769,5018045.143,-75.8936433,45.30074976,15
-75.89523248,45.30257879,616,CASTLEFRANK RD @ PARSONS RIDGE RD (0003522),1,0,0,352227.6118,5018247.462,-75.89523248,45.30257879,16
-75.8856492,45.28504616,617,CASTLEFRANK RD @ TERRY FOX DR (0011757),7,0,0,352994.009,5016304.808,-75.8856492,45.28504616,17
-75.88721622,45.29506701,618,CASTLEFRANK RD @ WINCHESTER DR (0003918),2,0,0,352862.6159,5017417.452,-75.88721622,45.29506701,18
-75.69507991,45.43348997,619,CATHCART ST @ DALHOUSIE ST (0008430),1,0,0,367778.6956,5032932.589,-75.69507991,45.43348997,19
-75.69111403,45.43493826,620,CATHCART ST @ KING EDWARD AVE SB/MACDONALD-CAR (0011439),1,0,0,368087.3751,5033096.65,-75.69111403,45.43493826,20
-75.68549314,45.41223022,621,CATHERINE ST @ ELGIN ST (0002638),5,0,0,368552.7096,5030577.572,-75.68549314,45.41223022,21
-75.69378268,45.40878852,622,CATHERINE ST @ KENT ST (0002707),22,0,0,367907.7075,5030188.564,-75.69378268,45.40878852,22
-75.69583879,45.40793915,623,CATHERINE ST @ LYON ST/HWY 417 LYON IC120BR36 (0002254),4,1,0,367747.7066,5030092.565,-75.69583879,45.40793915,23
-75.6875361,45.41142582,624,CATHERINE ST @ METCALFE ST (0011239),6,0,0,368393.7067,5030486.563,-75.6875361,45.41142582,24
-75.69912864,45.40656744,625,CATHERINE ST @ PERCY ST (0007199),2,0,0,367491.7035,5029937.56,-75.69912864,45.40656744,25
-75.68393997,45.41273201,626,CATHERINE ST @ QUEEN ELIZABETH DRWY (0002627),2,1,0,368673.7124,5030634.567,-75.68393997,45.41273201,26
-75.68946433,45.41059366,627,CATHERINE ST/HWY 417 O'CONN IC119BR76 @ O'CONN (0001697),18,0,0,368243.711,5030392.564,-75.68946433,45.41059366,27
-75.73909599,45.37933179,628,CAVAN ST @ LAPERRIERE AVE (0006732),3,0,0,364391.7048,5026880.545,-75.73909599,45.37933179,28
-75.73797708,45.3780375,629,CAVAN ST @ LAROSE AVE (0003070),1,0,0,364480.6959,5026737.541,-75.73797708,45.3780375,29
-75.73630467,45.37611861,630,CAVAN ST @ LEPAGE AVE (0002821),1,0,0,364613.7001,5026525.541,-75.73630467,45.37611861,30
-75.73853551,45.37867758,631,CAVAN ST @ WOODWARD AVE (0011301),1,0,0,364436.287,5026808.258,-75.73853551,45.37867758,31
-76.03234519,45.34644392,632,CAVANAGH DR @ LANGSTAFF DR (0005651),1,0,0,341446.5474,5023050.525,-76.03234519,45.34644392,32
-75.61153685,45.42660751,633,CEDARCROFT CRES @ MARIGOLD CRES N (0009927),1,0,0,374323.7285,5032236.572,-75.61153685,45.42660751,33
-75.86350238,45.28987672,634,CEDAROCK DR @ STONEHAVEN DR (0003166),3,0,0,354727.123,5016855.086,-75.86350238,45.28987672,34
-75.91629657,45.28033527,635,CEDAROW CRT @ HAZELDEAN RD (0000074),1,0,0,350593.6033,5015763.442,-75.91629657,45.28033527,35
-75.77991763,45.27866597,636,CEDARVIEW RD @ FALLOWFIELD RD (0001603),3,0,0,361294.6672,5015664.442,-75.77991763,45.27866597,36
-75.80096488,45.31550569,637,CEDARVIEW RD @ HWY 416 WESTHUNT IC72R24 (0005514),2,0,0,359607.886,5019743.776,-75.80096488,45.31550569,37
-75.80109712,45.31566777,638,CEDARVIEW RD @ HWY 416 WESTHUNT IC72R42 (0005515),3,0,0,359597.3611,5019761.698,-75.80109712,45.31566777,38
-75.77767053,45.27494419,639,CEDARVIEW RD @ JOCKVALE RD (0000788),1,0,0,361474.6703,5015252.432,-75.77767053,45.27494419,39
-75.77526196,45.27091544,640,CEDARVIEW RD @ MARAVISTA DR (0000764),2,0,0,361667.6727,5014806.429,-75.77526196,45.27091544,40
-75.7995729,45.31379371,641,CEDARVIEW RD @ WEST HUNT CLUB RD (0010267),18,0,0,359718.6774,5019554.478,-75.7995729,45.31379371,41
-75.65229696,45.37489594,642,CEDARWOOD DR @ WALKLEY RD (0002235),6,0,2,371194.7286,5026455.524,-75.65229696,45.37489594,42
-75.64327374,45.44228263,643,CENTER ST @ MONTREAL RD (0002691),1,0,0,371821.7081,5033951.588,-75.64327374,45.44228263,43
-75.73205354,45.37022341,644,CENTRAL PARK DR N @ MERIVALE RD (0011433),6,0,1,364952.9039,5025873.588,-75.73205354,45.37022341,44
-75.73164924,45.3677452,645,CENTRAL PARK DR S @ MERIVALE RD (0009113),5,2,0,364987.2004,5025598.491,-75.73164924,45.3677452,45
-75.64446687,45.43691047,701,CLARKE AVE @ ST. LAURENT BLVD (0007702),3,0,0,371734.7213,5033353.59,-75.64446687,45.43691047,46
-75.7620256,45.34173641,646,CENTREPOINTE DR @ CHRYSALIS WAY/PLUNKETT CRT (0009777),2,0,0,362634.219,5022685.94,-75.7620256,45.34173641,47
-75.76525655,45.34566993,647,CENTREPOINTE DR @ CONSTELLATION CRES S (0010246),3,0,0,362377.026,5023120.746,-75.76525655,45.34566993,48
-75.76704394,45.33778028,648,CENTREPOINTE DR @ DALECROFT CRT W (0000679),1,0,1,362244.9381,5022242.715,-75.76704394,45.33778028,49
-75.76859943,45.3480288,649,CENTREPOINTE DR @ GEMINI WAY (0010344),1,0,0,362112.686,5023380.497,-75.76859943,45.3480288,50
-75.76588498,45.34642763,650,CENTREPOINTE DR @ HEMMINGWOOD WAY E (0001025),1,0,0,362327.0129,5023204.499,-75.76588498,45.34642763,51
-75.77388792,45.34463407,651,CENTREPOINTE DR @ HEMMINGWOOD WAY W (0001187),2,0,0,361701.6805,5022999.5,-75.77388792,45.34463407,52
-75.76355686,45.34333476,652,CENTREPOINTE DR @ PASEO PRIV (0013547),1,0,0,362512.5921,5022862.462,-75.76355686,45.34333476,53
-75.76157303,45.34074866,653,CENTREPOINTE DR @ TALLWOOD DR (0004573),1,0,1,362670.693,5022576.5,-75.76157303,45.34074866,54
-75.72506251,45.19216505,654,CENTURY RD @ PRINCE OF WALES DR (0011830),1,0,0,365690.6831,5006091.908,-75.72506251,45.19216505,55
-75.79183518,45.16588437,655,CENTURY RD S @ MCCORDICK RD S (0003724),1,0,0,360469.6291,5003123.311,-75.79183518,45.16588437,56
-75.70083454,45.40420813,656,CHAMBERLAIN AVE @ IMPERIAL AVE (0011444),1,0,0,367360.771,5029674.046,-75.70083454,45.40420813,57
-75.69346863,45.40751737,657,CHAMBERLAIN AVE @ KENT ST (0002131),1,0,0,367933.7062,5030047.551,-75.69346863,45.40751737,58
-75.69828708,45.40554469,658,CHAMBERLAIN AVE @ PERCY ST (0007715),5,0,1,367558.7129,5029824.559,-75.69828708,45.40554469,59
-75.71869834,45.41036549,659,CHAMPAGNE AVE @ WELLINGTON ST (0006346),1,0,0,365955.7016,5030344.569,-75.71869834,45.41036549,60
-75.52036855,45.48423561,660,CHAMPLAIN ST @ JEANNE D'ARC BLVD (0004106),3,0,0,381379.7447,5038723.598,-75.52036855,45.48423561,61
-75.51863254,45.4810802,661,CHAMPLAIN ST @ PLACE D'ORLEANS  SC E/PLACE D'O (0008676),4,0,1,381519.7352,5038374.595,-75.51863254,45.4810802,62
-75.5176715,45.47932822,662,CHAMPLAIN ST @ PLACE D'ORLEANS DR (0003595),3,0,0,381597.246,5038180.816,-75.5176715,45.47932822,63
-75.67196276,45.42013272,663,CHAPEL CRES @ WIGGINS PRIV N (0002097),2,1,0,369602.7123,5031466.578,-75.67196276,45.42013272,64
-75.67988942,45.4295396,664,CHAPEL ST @ DALY AVE (0007824),3,0,1,368971.7077,5032505.598,-75.67988942,45.4295396,65
-75.67804242,45.42735755,665,CHAPEL ST @ LAURIER AVE (0007756),3,1,0,369118.7092,5032264.585,-75.67804242,45.42735755,66
-75.68088484,45.43078561,666,CHAPEL ST @ RIDEAU ST (0011918),3,0,0,368892.4083,5032643.271,-75.68088484,45.43078561,67
-75.67936145,45.42893285,667,CHAPEL ST @ STEWART ST (0008494),1,0,0,369013.7081,5032438.592,-75.67936145,45.42893285,68
-75.72589486,45.27165909,668,CHAPMAN MILLS DR @ BEATRICE DR (0010973),3,0,0,365540.5419,5014925.066,-75.72589486,45.27165909,69
-75.73484013,45.26864046,669,CHAPMAN MILLS DR @ LONGFIELDS DR (0013784),2,0,0,364841.83,5014582.92,-75.73484013,45.26864046,70
-75.72545034,45.3556543,670,CHARKAY ST @ WALGATE AVE (0001026),1,1,0,365485.7041,5024259.512,-75.72545034,45.3556543,71
-75.48649069,45.46874126,671,CHARLEMAGNE BLVD @ GARDENWAY DR/BOTTRIELL WAY  (0003748),1,0,0,384049.7586,5037034.565,-75.48649069,45.46874126,72
-75.47828457,45.47557904,672,CHARLEMAGNE BLVD @ MERKLEY DR (0004807),1,0,1,384681.7613,5037802.569,-75.47828457,45.47557904,73
-75.48576319,45.47864212,673,CHARLEMAGNE BLVD @ PRINCESS LOUISE DR E (0012957),1,0,0,384092.7571,5038135.562,-75.48576319,45.47864212,74
-75.49310454,45.47724945,674,CHARLEMAGNE BLVD @ PRINCESS LOUISE DR W/VALADE (0003731),1,0,0,383520.7527,5037973.576,-75.49310454,45.47724945,75
-75.67856845,45.43514512,675,CHARLOTTE ST @ CLARENCE ST (0008604),1,0,0,369068.7079,5033129.588,-75.67856845,45.43514512,76
-75.67350229,45.42934048,676,CHARLOTTE ST @ LAURIER AVE (0002181),1,0,0,369471.7125,5032488.586,-75.67350229,45.42934048,77
-75.67629062,45.43269914,677,CHARLOTTE ST @ RIDEAU ST (0002622),6,1,0,369249.709,5032859.592,-75.67629062,45.43269914,78
-75.67471976,45.43087001,678,CHARLOTTE ST @ STEWART ST (0007742),4,0,0,369374.704,5032657.583,-75.67471976,45.43087001,79
-75.67685882,45.43317112,679,CHARLOTTE ST/TORMEY ST @ BRIGADIER PRIV (0005237),1,1,0,369204.7144,5032911.587,-75.67685882,45.43317112,80
-75.73472555,45.37769078,680,CHATELAIN AVE @ KIRKWOOD AVE (0011295),1,0,0,364735.7174,5026701.428,-75.73472555,45.37769078,81
-75.73892529,45.37588403,681,CHATELAIN AVE @ LARKIN ST (0002617),1,0,0,364408.6963,5026497.528,-75.73892529,45.37588403,82
-75.73333908,45.37825844,682,CHATELAIN AVE @ MERIVALE RD (0011306),1,0,0,364843.7044,5026765.544,-75.73333908,45.37825844,83
-75.90956759,45.24950648,683,CHERRY DR @ FERNBANK RD (0000395),1,0,0,351146.5953,5012341.411,-75.90956759,45.24950648,84
-75.6801347,45.39084133,684,CHESLEY ST @ BANK ST (0007687),1,1,0,368996.3419,5028204.92,-75.6801347,45.39084133,85
-75.7303815,45.35343793,685,CHESTERTON DR @ MEADOWLANDS DR (0001110),4,0,1,365101.7036,5024009.508,-75.7303815,45.35343793,86
-75.75087931,45.38724753,686,CHURCHILL AVE @ CLARE ST/PRINCETON AVE (0006255),2,0,0,363460.684,5027751.549,-75.75087931,45.38724753,87
-75.74909225,45.38428423,687,CHURCHILL AVE @ DOVERCOURT AVE (0006184),1,0,0,363603.6934,5027423.547,-75.74909225,45.38428423,88
-75.74833011,45.38301938,688,CHURCHILL AVE @ IRENE CRES (0006199),1,0,0,363664.6897,5027283.544,-75.74833011,45.38301938,89
-75.75421592,45.39280351,689,CHURCHILL AVE @ MADISON AVE (0006692),1,0,0,363193.686,5028366.549,-75.75421592,45.39280351,90
-75.75379038,45.39213486,690,CHURCHILL AVE @ RICHMOND RD (0002361),9,0,1,363227.6938,5028292.551,-75.75379038,45.39213486,91
-75.7554544,45.3947733,691,CHURCHILL AVE @ SCOTT ST (0005132),1,0,0,363094.6896,5028584.55,-75.7554544,45.3947733,92
-75.7431143,45.38919404,692,CLARE ST @ KIRKWOOD AVE (0006079),1,0,0,364066.6963,5027973.551,-75.7431143,45.38919404,93
-75.65236238,45.45080916,693,CLAREMONT DR @ ST. LAURENT BLVD (0007962),1,0,0,371100.7143,5034891.598,-75.65236238,45.45080916,94
-75.68957541,45.4305265,694,CLARENCE ST @ CUMBERLAND ST (0008412),3,0,0,368212.6974,5032607.588,-75.68957541,45.4305265,95
-75.69176115,45.42960623,695,CLARENCE ST @ DALHOUSIE ST (0008415),1,1,0,368042.6995,5032503.598,-75.69176115,45.42960623,96
-75.68796847,45.43118096,696,CLARENCE ST @ KING EDWARD AVE (0008243),1,0,0,368337.7006,5032681.585,-75.68796847,45.43118096,97
-75.69352281,45.42884473,697,CLARENCE ST @ PARENT AVE (0008509),1,0,0,367905.7032,5032417.59,-75.69352281,45.42884473,98
-75.69550466,45.42799872,698,CLARENCE ST @ SUSSEX DR (0011909),2,0,0,367751.5668,5032322.02,-75.69550466,45.42799872,99
-75.73704928,45.39860234,699,CLARENDON AVE @ WELLINGTON ST (0005582),1,1,0,364531.6953,5029023.562,-75.73704928,45.39860234,100
-75.63882011,45.4392527,700,CLARKE AVE @ CUMMINGS AVE (0008949),2,0,0,372173.7216,5033618.596,-75.63882011,45.4392527,101
